Ticker,Link,ESG Risk Score,Environment Risk Score,Social Risk Score,Governance Risk Score,Data Date
SKG.L,https://uk.finance.yahoo.com/quote/SKG.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
SXS.L,https://uk.finance.yahoo.com/quote/SXS.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
SDY.L,https://uk.finance.yahoo.com/quote/SDY.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
SPX.L,https://uk.finance.yahoo.com/quote/SPX.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
SSE.L,https://uk.finance.yahoo.com/quote/SSE.L/sustainability,20,10.2,6.5,3.6,9-2023
STJ.L,https://uk.finance.yahoo.com/quote/STJ.L/sustainability,19,0.1,7.9,10.6,9-2023
STAN.L,https://uk.finance.yahoo.com/quote/STAN.L/sustainability,26,1,15,9.8,9-2023
STEM.L,https://uk.finance.yahoo.com/quote/STEM.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
SEC.L,https://uk.finance.yahoo.com/quote/SEC.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
STS.L,https://uk.finance.yahoo.com/quote/STS.L/sustainability,20,3.6,9.9,7,12-2020
STVG.L,https://uk.finance.yahoo.com/quote/STVG.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
SDRY.L,https://uk.finance.yahoo.com/quote/SDRY.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
SYNT.L,https://uk.finance.yahoo.com/quote/SYNT.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
TATE.L,https://uk.finance.yahoo.com/quote/TATE.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
TEP.L,https://uk.finance.yahoo.com/quote/TEP.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
TMPL.L,https://uk.finance.yahoo.com/quote/TMPL.L/sustainability,23,5.1,9.4,7,12-2020
TEM.L,https://uk.finance.yahoo.com/quote/TEM.L/sustainability,26,4.5,9.9,9.7,12-2020
ESCT.L,https://uk.finance.yahoo.com/quote/ESCT.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
GSCT.L,https://uk.finance.yahoo.com/quote/GSCT.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
TPT.L,https://uk.finance.yahoo.com/quote/TPT.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
TCAP.L,https://uk.finance.yahoo.com/quote/TCAP.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
TRY.L,https://uk.finance.yahoo.com/quote/TRY.L/sustainability,13,3,3.8,5.1,12-2020
TPK.L,https://uk.finance.yahoo.com/quote/TPK.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
TET.L,https://uk.finance.yahoo.com/quote/TET.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
TRI.L,https://uk.finance.yahoo.com/quote/TRI.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
TIGT.L,https://uk.finance.yahoo.com/quote/TIGT.L/sustainability,21,3.8,9.2,7.3,12-2020
TTG.L,https://uk.finance.yahoo.com/quote/TTG.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
TLW.L,https://uk.finance.yahoo.com/quote/TLW.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
TYMN.L,https://uk.finance.yahoo.com/quote/TYMN.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
UKCM.L,https://uk.finance.yahoo.com/quote/UKCM.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
ULVR.L,https://uk.finance.yahoo.com/quote/ULVR.L/sustainability,25,7.2,10.3,7.1,9-2023
UTG.L,https://uk.finance.yahoo.com/quote/UTG.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
UU.L,https://uk.finance.yahoo.com/quote/UU.L/sustainability,12,3.9,2.7,4.9,9-2023
SHED.L,https://uk.finance.yahoo.com/quote/SHED.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
UEM.L,https://uk.finance.yahoo.com/quote/UEM.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
VIP.L,https://uk.finance.yahoo.com/quote/VIP.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
VSVS.L,https://uk.finance.yahoo.com/quote/VSVS.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
VCT.L,https://uk.finance.yahoo.com/quote/VCT.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
VID.L,https://uk.finance.yahoo.com/quote/VID.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
VTY.L,https://uk.finance.yahoo.com/quote/VTY.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
VOD.L,https://uk.finance.yahoo.com/quote/VOD.L/sustainability,15,2.6,7.6,5.1,9-2023
JDW.L,https://uk.finance.yahoo.com/quote/JDW.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
SMWH.L,https://uk.finance.yahoo.com/quote/SMWH.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
WIN.L,https://uk.finance.yahoo.com/quote/WIN.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
WG.L,https://uk.finance.yahoo.com/quote/WG.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
WWH.L,https://uk.finance.yahoo.com/quote/WWH.L/sustainability,29,1,10.8,6/4,12-2020
